Category,References,Value,Stock Code
Capacitors,C1,10u,JMK107ABJ106MA-T/GRM188R60J106ME47D 
Capacitors,C2,100n,0603YC104K4T4A
Capacitors,C5,100uf,CL31A107MQHNNWE
Capacitors,C6,100n,0603YC104K4T4A
Capacitors,C7,DGH155Q5R5,DGH155Q5R5
Capacitors,C9,22u,GRM188R60J226MEA0D/GRM187R60J226ME15D
Capacitors,C10,10u,JMK107ABJ106MA-T/GRM188R60J106ME47D 
Capacitors,C11,10u,JMK107ABJ106MA-T/GRM188R60J106ME47D 
Resistors,R1,TC33X-2-202E,TC33X-2-202E
Resistors,R2,3.3K,RMC1/16K3301FTP
Resistors,R3,10K,RMC1/16-1002FTP
Resistors,R4,10K,RMC1/16-1002FTP
Resistors,R7,10K,RMC1/16-1002FTP
Resistors,R8,10K,RMC1/16-1002FTP
Resistors,R9,10,10
Resistors,R10,10,10
Resistors,R11,10K,RMC1/16-1002FTP
Resistors,R12,36.5K,CR0603-FX-3652ELF
Resistors,R13,18K,18K
Resistors,R16,4.7K,4.7K
Resistors,R17,4.7K,4.7K
Resistors,R19,470K,470K
Resistors,R20,470K,470K
Integrated Circuits,U1,ESP12F,ESP12F
Integrated Circuits,U3,TPS3839K33DBZR,TPS3839K33DBZR
Integrated Circuits,U5,TSP63900,TPS63900DSKR
Transistors,Q1,LTV-814S-TA1,LTV-814S-TA1
Transistors,Q2,BSS138,BSS138
Transistors,Q3,UMH3N-TP,UMH3N-TP
Diodes,D1,RED LED,
Diodes,D3,BAT54S,BAT54S
Diodes,D4,BAT54S,BAT54S
Diodes,D6,CUS10S30_H3F,"CUS10S30,H3F"
Diodes,D7,5.1V,ZMM5.1
Diodes,D8,5.1V,ZMM5.1
Miscellaneous,J1,KF3012P,bornier
Miscellaneous,J2,KF3012P,bornier
Miscellaneous,J3,MTMM10808LS300,
Miscellaneous,J4,MTMM10808LS300,
Miscellaneous,J5,HEADER 7PIN-G-V-TH,
Miscellaneous,J9,PRT14417,
Miscellaneous,L1,DFE252012F-2R2M=P2,DFE252012F-2R2M=P2
